Year,Number of applications
2022,"13,100,210"
2021,"12,172,982"
2020,"11,540,532"
2019,"11,536,437"
2018,"11,278,642"
2017,"10,699,890"
2016,"10,435,175"
2015,"9,967,334"
2014,"9,598,759"
